Date/Time,Electricity:Facility [J](Hourly),Electricity:HVAC [J](Hourly),Refrigeration:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Gas:HVAC [J](Hourly),Heating:Gas [J](Hourly) 
 01/02  08:00:00,449618476.39284029,18716142.85714286,185095102.49569724,0.0,0.0,156021643.44,83338419.60000007,6447168.0,18716142.85714286,198115577.89612598,198115577.89612598,198115577.89612598 
 01/02  09:00:00,509679418.66515347,18716142.85714286,169862414.8480105,0.0,0.0,234595960.56,84053905.20000009,2450995.2,18716142.85714286,174064175.7581753,174064175.7581753,174064175.7581753 
 01/02  10:00:00,598794135.0464125,18716142.85714286,194815389.6292697,0.0,0.0,299146505.76,84613298.39999993,1502798.4,18716142.85714286,137363243.87931187,137363243.87931187,137363243.87931187 
 01/02  11:00:00,587198604.8926786,18716142.85714286,195632783.67553587,0.0,0.0,287326674.36,83900671.19999999,1622332.8,18716142.85714286,103582017.5549939,103582017.5549939,103582017.5549939 
 01/02  12:00:00,587209633.3207109,18439714.285714285,196417925.5549967,0.0,0.0,288242522.28,83561176.80000003,548294.4,18439714.285714285,83962727.63721432,83962727.63721432,83962727.63721432 
 01/02  13:00:00,599082553.2732604,18439714.285714285,200936159.62754605,0.0,0.0,295278158.16,84204269.9999999,224251.19999999999,18439714.285714285,72977504.67742823,72977504.67742823,72977504.67742823 
 01/02  14:00:00,603657469.7763871,18439714.285714285,209468436.25067304,0.0,0.0,291791858.04,83753427.59999994,204033.6,18439714.285714285,65569220.0798922,65569220.0798922,65569220.0798922 
 01/02  15:00:00,612525309.1613898,18439714.285714285,214751333.71567548,0.0,0.0,294836313.96000006,83806142.40000008,691804.8,18439714.285714285,72046499.76944843,72046499.76944843,72046499.76944843 
 01/02  16:00:00,594669739.3751634,18439714.285714285,199649680.76944907,0.0,0.0,290116962.72,83691799.20000009,2771582.4,18439714.285714285,71336009.07718933,71336009.07718933,71336009.07718933 
 01/02  17:00:00,603680734.8252801,18439714.285714285,198917873.09956593,0.0,0.0,296163242.64,83750234.4,6409670.4,18439714.285714285,79802288.60481039,79802288.60481039,79802288.60481039 
 01/02  18:00:00,596247059.1561098,18439714.285714285,196283778.6303956,0.0,0.0,288536138.64,84192901.20000004,8794526.4,18439714.285714285,93504200.71932473,93504200.71932473,93504200.71932473 
 01/02  19:00:00,594197699.1025124,18439714.285714285,224624329.77679826,0.0,0.0,258573770.64,83783674.79999991,8776209.6,18439714.285714285,97390930.46498096,97390930.46498096,97390930.46498096 
 01/02  20:00:00,560516595.9867818,18439714.285714285,198821412.6610676,0.0,0.0,251447354.64000003,83023783.19999998,8784331.2,18439714.285714285,103239219.8245567,103239219.8245567,103239219.8245567 
 01/02  21:00:00,521679255.6724277,18508821.428571427,191742007.56385643,0.0,0.0,219765061.07999999,83037751.19999995,8625614.4,18508821.428571427,123372376.98771999,123372376.98771999,123372376.98771999 
 01/02  22:00:00,332964337.5857086,18558183.673469388,94123679.95223926,0.0,0.0,128395785.96,83252001.59999992,8634686.4,18558183.673469388,143115582.75672285,143115582.75672285,143115582.75672285 
 01/02  23:00:00,251000744.77587129,18716142.85714286,71608686.59872818,0.0,0.0,72104182.92,79903436.40000008,8668296.0,18716142.85714286,154667563.76699645,154667563.76699645,154667563.76699645 
 01/02  24:00:00,238285451.01365368,18716142.85714286,67696596.67651068,0.0,0.0,71269399.08,74723965.2,5879347.2,18716142.85714286,167483193.53749026,167483193.53749026,167483193.53749026 
 01/03  01:00:00,236284461.44507943,18716142.85714286,70643984.58793636,0.0,0.0,71225798.4,72118421.99999997,3580113.6000000007,18716142.85714286,172054037.39759553,172054037.39759553,172054037.39759553 
 01/03  02:00:00,238160892.25526247,18716142.85714286,71720514.11811948,0.0,0.0,71146043.28,72984211.19999999,3593980.8000000005,18716142.85714286,168577535.79474224,168577535.79474224,168577535.79474224 
 01/03  03:00:00,241717894.41075356,18716142.85714286,74621956.63361058,0.0,0.0,71177013.72,73610485.19999999,3592296.0,18716142.85714286,152209195.97707046,152209195.97707046,152209195.97707046 
 01/03  04:00:00,245316846.46732576,18716142.85714286,76712390.25018274,0.0,0.0,71417849.75999999,74879852.39999996,3590611.2,18716142.85714286,131617905.82013026,131617905.82013026,131617905.82013026 
 01/03  05:00:00,245958386.85732378,18716142.85714286,75940887.44018068,0.0,0.0,72407216.16,75312471.60000006,3581668.8000000005,18716142.85714286,131300617.82788238,131300617.82788238,131300617.82788238 
 01/03  06:00:00,253088297.6228894,18716142.85714286,75445310.60574642,0.0,0.0,75165766.56,77202194.39999996,6558883.200000001,18716142.85714286,138176976.13239289,138176976.13239289,138176976.13239289 
 01/03  07:00:00,406250795.93831959,18716142.85714286,151773754.48117668,0.0,0.0,146805460.2,80247873.59999995,8707564.799999999,18716142.85714286,142398180.5909112,142398180.5909112,142398180.5909112 
 01/03  08:00:00,455359895.57642278,18716142.85714286,190836521.6792797,0.0,0.0,156021643.44,83338419.60000007,6447168.0,18716142.85714286,148218348.03469179,148218348.03469179,148218348.03469179 
 01/03  09:00:00,513308094.9488632,18716142.85714286,173491091.13172028,0.0,0.0,234595960.56,84053905.20000009,2450995.2,18716142.85714286,141428135.61946488,141428135.61946488,141428135.61946488 
 01/03  10:00:00,601135216.2941773,18716142.85714286,197156470.87703444,0.0,0.0,299146505.76,84613298.39999993,1502798.4,18716142.85714286,114682599.93506941,114682599.93506941,114682599.93506941 
 01/03  11:00:00,586998340.5609224,18538438.775510204,195610223.42541225,0.0,0.0,287326674.36,83900671.19999999,1622332.8,18538438.775510204,103343281.716905,103343281.716905,103343281.716905 
 01/03  12:00:00,586497235.6355016,18439714.285714285,195705527.86978729,0.0,0.0,288242522.28,83561176.80000003,548294.4,18439714.285714285,80173485.43747562,80173485.43747562,80173485.43747562 
 01/03  13:00:00,601418949.8120036,18439714.285714285,203272556.16628955,0.0,0.0,295278158.16,84204269.9999999,224251.19999999999,18439714.285714285,56197078.77387573,56197078.77387573,56197078.77387573 
 01/03  14:00:00,607691761.835945,18521801.08903207,213420641.5069132,82086.80331778463,0.0,291791858.04,83753427.59999994,204033.6,18439714.285714285,46265916.88765232,46265916.88765232,46265916.88765232 
 01/03  15:00:00,622834954.019501,20015168.640111437,223485524.21938948,1575454.3543971503,0.0,294836313.96000006,83806142.40000008,691804.8,18439714.285714285,44047348.33730499,44047348.33730499,44047348.33730499 
 01/03  16:00:00,599137380.2857356,18682243.024066338,203874792.9416693,242528.73835205247,0.0,290116962.72,83691799.20000009,2771582.4,18439714.285714285,51197322.87506172,51197322.87506172,51197322.87506172 
 01/03  17:00:00,606937565.3784746,18439714.285714285,202174703.65276028,0.0,0.0,296163242.64,83750234.4,6409670.4,18439714.285714285,58000820.87715908,58000820.87715908,58000820.87715908 
 01/03  18:00:00,600361605.6007545,18439714.285714285,200398325.07504023,0.0,0.0,288536138.64,84192901.20000004,8794526.4,18439714.285714285,67080990.75659923,67080990.75659923,67080990.75659923 
 01/03  19:00:00,602855305.4611896,18439714.285714285,233281936.13547553,0.0,0.0,258573770.64,83783674.79999991,8776209.6,18439714.285714285,83828611.4998368,83828611.4998368,83828611.4998368 
 01/03  20:00:00,560133522.4656098,18439714.285714285,198438339.13989554,0.0,0.0,251447354.64000003,83023783.19999998,8784331.2,18439714.285714285,107013106.8769707,107013106.8769707,107013106.8769707 
 01/03  21:00:00,520765859.4170792,18439714.285714285,190897718.45136509,0.0,0.0,219765061.07999999,83037751.19999995,8625614.4,18439714.285714285,126573290.51115807,126573290.51115807,126573290.51115807 
 01/03  22:00:00,332272847.3373816,18439714.285714285,93550659.09166731,0.0,0.0,128395785.96,83252001.59999992,8634686.4,18439714.285714285,143032918.63958577,143032918.63958577,143032918.63958577 
 01/03  23:00:00,250439092.84828887,18686525.510204086,71076652.01808456,0.0,0.0,72104182.92,79903436.40000008,8668296.0,18686525.510204086,158352370.3542794,158352370.3542794,158352370.3542794 
 01/03  24:00:00,237810593.05185495,18716142.85714286,67221738.71471198,0.0,0.0,71269399.08,74723965.2,5879347.2,18716142.85714286,169609394.1963914,169609394.1963914,169609394.1963914 
 01/04  01:00:00,235246120.3788932,18716142.85714286,69605643.52175014,0.0,0.0,71225798.4,72118421.99999997,3580113.6000000007,18716142.85714286,178843272.52568827,178843272.52568827,178843272.52568827 
 01/04  02:00:00,235041794.14448304,18716142.85714286,68601416.00734008,0.0,0.0,71146043.28,72984211.19999999,3593980.8000000005,18716142.85714286,187305513.32727374,187305513.32727374,187305513.32727374 
 01/04  03:00:00,235603749.42648355,18716142.85714286,68507811.64934057,0.0,0.0,71177013.72,73610485.19999999,3592296.0,18716142.85714286,188541511.47329489,188541511.47329489,188541511.47329489 
 01/04  04:00:00,236027002.84893174,18716142.85714286,67422546.6317887,0.0,0.0,71417849.75999999,74879852.39999996,3590611.2,18716142.85714286,202507147.46438379,202507147.46438379,202507147.46438379 
 01/04  05:00:00,234764901.54432563,18716142.85714286,64747402.12718252,0.0,0.0,72407216.16,75312471.60000006,3581668.8000000005,18716142.85714286,224172315.753387,224172315.753387,224172315.753387 
 01/04  06:00:00,242730547.63767676,18716142.85714286,65087560.62053373,0.0,0.0,75165766.56,77202194.39999996,6558883.200000001,18716142.85714286,221146418.0324677,221146418.0324677,221146418.0324677 
 01/04  07:00:00,396547149.2795114,18716142.85714286,142070107.82236845,0.0,0.0,146805460.2,80247873.59999995,8707564.799999999,18716142.85714286,218031779.70901574,218031779.70901574,218031779.70901574 
 01/04  08:00:00,446445274.27009949,18716142.85714286,181921900.37295643,0.0,0.0,156021643.44,83338419.60000007,6447168.0,18716142.85714286,214437620.74326278,214437620.74326278,214437620.74326278 
 01/04  09:00:00,506620236.40989807,18716142.85714286,166803232.5927551,0.0,0.0,234595960.56,84053905.20000009,2450995.2,18716142.85714286,194470806.6078806,194470806.6078806,194470806.6078806 
 01/04  10:00:00,594761693.2879253,18716142.85714286,190782947.87078244,0.0,0.0,299146505.76,84613298.39999993,1502798.4,18716142.85714286,169230601.52399213,169230601.52399213,169230601.52399213 
 01/04  11:00:00,581126229.0429514,18716142.85714286,189560407.82580856,0.0,0.0,287326674.36,83900671.19999999,1622332.8,18716142.85714286,154342178.72969575,154342178.72969575,154342178.72969575 
 01/04  12:00:00,581061143.7680439,18637163.265306124,190071987.0227378,0.0,0.0,288242522.28,83561176.80000003,548294.4,18637163.265306124,138453945.5212307,138453945.5212307,138453945.5212307 
 01/04  13:00:00,593320259.5314188,18439714.285714285,195173865.88570474,0.0,0.0,295278158.16,84204269.9999999,224251.19999999999,18439714.285714285,120265597.22600007,120265597.22600007,120265597.22600007 
 01/04  14:00:00,597372468.7328014,18439714.285714285,203183435.20708723,0.0,0.0,291791858.04,83753427.59999994,204033.6,18439714.285714285,110381407.06106201,110381407.06106201,110381407.06106201 
 01/04  15:00:00,597535425.5326769,18439714.285714285,199761450.08696244,0.0,0.0,294836313.96000006,83806142.40000008,691804.8,18439714.285714285,108492850.10085353,108492850.10085353,108492850.10085353 
 01/04  16:00:00,591121079.4234638,18439714.285714285,196101020.8177494,0.0,0.0,290116962.72,83691799.20000009,2771582.4,18439714.285714285,104089305.18373522,104089305.18373522,104089305.18373522 
 01/04  17:00:00,601002062.3326119,18439714.285714285,196239200.6068978,0.0,0.0,296163242.64,83750234.4,6409670.4,18439714.285714285,106155058.85929385,106155058.85929385,106155058.85929385 
 01/04  18:00:00,594868112.0035837,18439714.285714285,194904831.47786949,0.0,0.0,288536138.64,84192901.20000004,8794526.4,18439714.285714285,112700501.07031359,112700501.07031359,112700501.07031359 
 01/04  19:00:00,579384300.6795857,18439714.285714285,209810931.35387168,0.0,0.0,258573770.64,83783674.79999991,8776209.6,18439714.285714285,125280590.71962203,125280590.71962203,125280590.71962203 
 01/04  20:00:00,556847595.2624085,18508821.428571427,195083304.7938371,0.0,0.0,251447354.64000003,83023783.19999998,8784331.2,18508821.428571427,136377188.4686715,136377188.4686715,136377188.4686715 
 01/04  21:00:00,519394705.23697087,18716142.85714286,189250135.6998282,0.0,0.0,219765061.07999999,83037751.19999995,8625614.4,18716142.85714286,146917245.48017133,146917245.48017133,146917245.48017133 
 01/04  22:00:00,328702666.96649137,18716142.85714286,89704050.1493485,0.0,0.0,128395785.96,83252001.59999992,8634686.4,18716142.85714286,153815006.95517159,153815006.95517159,153815006.95517159 
 01/04  23:00:00,249180806.62929834,18716142.85714286,69788748.45215523,0.0,0.0,72104182.92,79903436.40000008,8668296.0,18716142.85714286,174626089.8494549,174626089.8494549,174626089.8494549 
 01/04  24:00:00,236112171.72616066,18716142.85714286,65523317.38901767,0.0,0.0,71269399.08,74723965.2,5879347.2,18716142.85714286,184417888.67303283,184417888.67303283,184417888.67303283 
 01/05  01:00:00,220419880.76096154,18716142.85714286,68625363.90381848,0.0,0.0,57379838.4,72118421.99999997,3580113.6000000007,18716142.85714286,188588094.7859618,188588094.7859618,188588094.7859618 
 01/05  02:00:00,220587714.6111882,18716142.85714286,67993296.47404525,0.0,0.0,57300083.28,72984211.19999999,3593980.8000000005,18716142.85714286,193723919.86357487,193723919.86357487,193723919.86357487 
 01/05  03:00:00,219648737.7101103,18716142.85714286,66398759.932967398,0.0,0.0,57331053.72,73610485.19999999,3592296.0,18716142.85714286,214011982.204055,214011982.204055,214011982.204055 
 01/05  04:00:00,219698507.268953,18716142.85714286,64940011.051810007,0.0,0.0,57571889.76,74879852.39999996,3590611.2,18716142.85714286,234296342.52095033,234296342.52095033,234296342.52095033 
